parentDocumentId,parentName,parentType,componentItemId,componentName,componentType,quantity,componentUnit
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","tiJfHqAK2ZUHVI43CdRS","Azucar","raw_material","11.62","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","hfYmna1OS0ddFuRqK2iM","Esencia de Vainilla","raw_material","0.49","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","9xzNG6ivbiENiE8h9y86","Huevos","raw_material","6.12","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","M62EOPptlXniVvK7WAoF","Yogurt Griego","raw_material","17.13","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","fSnWb6KZSBWpI0IIhE4h","Harina de trigo Fuerte","raw_material","15.29","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","srbEmhYf69vViqFDCcBQ","Polvo de hornear","raw_material","0.55","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","TN3dhXTrPsYp5FB5jPdM","Bicarbonato","raw_material","0.18","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","p6WA104EyTBbXPexjilZ","Sal","raw_material","0.18","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","3H7iJvrsjkIpd8eKbgcf","Cocoa","raw_material","2.51","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","NDzXFrN40mqLGLOIH2IZ","Chocolate semiamargo","raw_material","13.46","gr"
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","pVUiLPehraHcBycL5C3u","Aceite neutro de girasol","raw_material","7.34","gr"
"americano","Americano","finished_good","cafe-grano","Café en Grano (House Blend)","raw_material","36","gr"
"americano","Americano","finished_good","vaso-12oz","Vaso de Cartón 12oz","raw_material","1","unidades"
"aura-cookie","Aura Cookie","finished_good","tiJfHqAK2ZUHVI43CdRS","Azucar","raw_material","9.03","gr"
"aura-cookie","Aura Cookie","finished_good","NYfE213uC3PCsCy0L9sU","Azucar morena","raw_material","9.94","gr"
"aura-cookie","Aura Cookie","finished_good","mantequilla","Mantequilla","raw_material","13.73","gr"
"aura-cookie","Aura Cookie","finished_good","9xzNG6ivbiENiE8h9y86","Huevos","raw_material","0.17","gr"
"aura-cookie","Aura Cookie","finished_good","hfYmna1OS0ddFuRqK2iM","Esencia de Vainilla","raw_material","0.22","gr"
"aura-cookie","Aura Cookie","finished_good","fSnWb6KZSBWpI0IIhE4h","Harina de trigo Fuerte","raw_material","18.97","gr"
"aura-cookie","Aura Cookie","finished_good","harina-trigo","Harina de Trigo Panadera","raw_material","9.03","gr"
"aura-cookie","Aura Cookie","finished_good","p6WA104EyTBbXPexjilZ","Sal","raw_material","0.51","gr"
