documentId,name,type,unit,currentStock,costPerUnit,hasBom,bomItemCount,category
"00001","Café en Grano (House Blend)","finished_good","kg","20","15.5","false","0",""
"3H7iJvrsjkIpd8eKbgcf","Cocoa","raw_material","gr","1000","100","false","0",""
"5FIacFGS6CaOe6HCm4pP","Covertura de chocolate blanco","raw_material","gr","3000","200","false","0",""
"74kNjeFiFgVcRBxzrMHj","Muffin de Chocolate","finished_good","unidades","4","6000","true","11","Muffins"
"7WYgRxOXPTBm56pwpcpu","Crema de leche","raw_material","gr","49497","90","false","0",""
"9xzNG6ivbiENiE8h9y86","Huevos","raw_material","gr","1760","50","false","0",""
"BTPWgEc3BZMUocStZRQn","limon","raw_material","Unidades","10","500","false","0",""
"M62EOPptlXniVvK7WAoF","Yogurt Griego","raw_material","gr","500","100","false","0",""
"NDzXFrN40mqLGLOIH2IZ","Chocolate semiamargo","raw_material","gr","1000","100","false","0",""
"NYfE213uC3PCsCy0L9sU","Azucar morena","raw_material","gr","5000","6","false","0",""
"Nrr8wh6hMoDnCORZrAgA","Glucosa","raw_material","gr","500","100","false","0",""
"Qo55xfJsLpKq39LVybOX","Arándalos","raw_material","gr","230","0","false","0",""
"TN3dhXTrPsYp5FB5jPdM","Bicarbonato","raw_material","gr","1000","10","false","0",""
"U2eprL2TAPvPj5ePHEDA","Canela","raw_material","gr","92","30","false","0",""
"U9U6XuZLRBIgyplbEnQv","Colorante Rojo","raw_material","gr","50","100","false","0",""
"americano","Americano","finished_good","taza","100","7000","true","2","Café"
"aura-cookie","Aura Cookie","finished_good","unidades","3","5000","true","12","Cookies"
"cafe-grano","Café en Grano (House Blend)","raw_material","gr","5000","1","false","0",""
"caramel-latte","Caramel Latte","finished_good","taza","50","11000","false","0","Café"
"cruller","Cruller","finished_good","unidades","0","12000","true","7","Cookies"
"dV9UT22L8rOC07KJi8Sh","Nata Pasteis","wip","g","30","3000","true","2",""
"dark-chocolate-entremet","Dark Chocolate Entremet","finished_good","unidades","8","22000","false","0","Clásicos"
"dhicyzVKxsJHIgzf0cUe","Crema base pasteis","wip","g","0","0","true","4",""
"ec6jcnCIMjsQGgHJVUg1","Queso Crema","raw_material","gr","5000","300","false","0",""
"espresso","Espresso","finished_good","taza","100","6","false","0","Café"
"fSnWb6KZSBWpI0IIhE4h","Harina de trigo Fuerte","raw_material","gr","48962","5500","false","0","Materia Prima"
"harina-trigo","Harina de Trigo Panadera","raw_material","gr","19475","5500","false","0","Materia prima"
"hfYmna1OS0ddFuRqK2iM","Esencia de Vainilla","raw_material","gr","1000","21","false","0",""
"island-time-smoothie","Island Time Smoothie","finished_good","vaso","30","13","false","0","Bebidas"
"jJTe3BNFobMdb1t3TnJI","Covertura de chocolate negro","raw_material","g","3000","200","false","0",""
"latte","Latte","finished_good","taza","0","7000","true","3","Café"
"lava-cookie-doble-chocolate","Lava Cookie Doble Chocolate","finished_good","unidades","25","15000","true","14","Cookies"
"lava-cookie-red-velvet","Lava Cookie Red Velvet","finished_good","unidades","20","15000","true","14","Cookies"
"leche-entera","Leche Entera","raw_material","gr","98994","3500","false","0",""
"mYI7llFK5LUVAZGjbUtE","Muffin queso y tocineta","finished_good","unidades","6","6000","false","0","Clásicos"
"mantequilla","Mantequilla","raw_material","gr","4911","100","false","0",""
"maracuya-cloud","Maracuya Cloud","finished_good","unidades","8","22000","false","0","Clásicos"
"oOMMzk0HddSbyo5M0TEJ","Masa muffins salados","wip","unidades","0","0","true","2",""
"p6WA104EyTBbXPexjilZ","Sal","raw_material","gr","968","100","false","0",""
"pVUiLPehraHcBycL5C3u","Aceite neutro de girasol","raw_material","gr","1000","100","false","0",""
"pasteis-de-nata","Pasteis de Nata","finished_good","unidades","10","8000","true","2","Clásicos"
"qCfIUm3YZZmy85FwuDFJ","Muffin de queso","finished_good","unidades","5","6000","false","0","Clásico"
"selva-negra","Selva Negra","finished_good","porción","10","18","false","0","Clásicos"
"snickers-latte","Snickers Latte","finished_good","taza","50","11","false","0","Café"
"srbEmhYf69vViqFDCcBQ","Polvo de hornear","raw_material","gr","500","10","false","0",""
"tarta-vasca","Tarta Vasca","finished_good","porción","12","16000","false","0","Clásicos"
"tiJfHqAK2ZUHVI43CdRS","Azucar","raw_material","gr","2940","100","false","0",""
"tiramisu-clásico","Tiramisu Clásico","finished_good","porción","15","14000","false","0","Clásicos"
"u0GMPhut4XYrFWG5wJqc","Jarabe pasteis","wip","g","0","500","true","4",""
"u2wegdOYcF4LNiZL1TcL","Hojaldre","wip","g","30","5000","true","4",""
"vaso-12oz","Vaso de Cartón 12oz","raw_material","unidades","500","0.2","false","0",""
"verde-vivo","Verde Vivo","finished_good","vaso","30","13","false","0","Bebidas"
"w6QF1akLmOmOXbSzkWar","Agua","raw_material","gr","999999999470","0","false","0",""
"xSVhaS3BDKYaE74nvtrn","Muffin de Arándalos","finished_good","unidades","6","6000","true","10","Clásicos"
"zEe63tU8FSbscLSnzq07","Cocoa Alcalina","raw_material","gr","1000","0","false","0",""
